# JMH version: 1.32
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9
# VM invoker: C:\Program Files\AdoptOpenJDK\jdk-11.0.10.9-hotspot\bin\java.exe
# VM options: <none>
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: de.codecentric.fpl.list.Construct.appendAtEnd
# Parameters: (size = 1)

# Run progress: 0,00% complete, ETA 23:36:40
# Fork: 1 of 5
# Warmup Iteration   1: 0,016 us/op
# Warmup Iteration   2: 0,016 us/op
# Warmup Iteration   3: 0,016 us/op
# Warmup Iteration   4: 0,016 us/op
# Warmup Iteration   5: 0,016 us/op
Iteration   4: 53,174 us/op
Iteration   5: 53,061 us/op

# Run progress: 2,00% complete, ETA 23:14:02
# Fork: 3 of 5
# Warmup Iteration   1: 53,850 us/op
# Warmup Iteration   2: 53,268 us/op
# Warmup Iteration   3: 53,130 us/op
# Warmup Iteration   4: 53,234 us/op
# Warmup Iteration   5: 53,121 us/op
Iteration   1: 53,133 us/op
Iteration   2: 53,193 us/op
Iteration   3: 53,155 us/op
Iteration   4: 53,047 us/op
Iteration   5: 53,020 us/op

# Run progress: 2,12% complete, ETA 23:12:21
# Fork: 4 of 5
# Warmup Iteration   1: 53,945 us/op
# Warmup Iteration   2: 53,048 us/op
# Warmup Iteration   3: 53,250 us/op
# Warmup Iteration   4: 53,093 us/op
# Warmup Iteration   5: 53,062 us/op
Iteration   1: 53,031 us/op
Iteration   2: 53,079 us/op
Iteration   3: 53,026 us/op
Iteration   4: 53,146 us/op
Iteration   5: 53,213 us/op

# Run progress: 2,24% complete, ETA 23:10:40
# Fork: 5 of 5
# Warmup Iteration   1: 54,185 us/op
# Warmup Iteration   2: 53,628 us/op
# Warmup Iteration   3: 53,239 us/op
# Warmup Iteration   4: 53,128 us/op
# Warmup Iteration   5: 53,183 us/op
Iteration   1: 53,261 us/op
Iteration   2: 53,221 us/op
Iteration   3: 53,137 us/op
Iteration   4: 53,181 us/op
Iteration   5: 53,121 us/op


Result "de.codecentric.fpl.list.Construct.appendAtEnd":
  53,122 ±(99.9%) 0,048 us/op [Average]
  (min, avg, max) = (53,020, 53,122, 53,261), stdev = 0,065
  CI (99.9%): [53,074, 53,171] (assumes normal distribution)


# JMH version: 1.32
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9
# VM invoker: C:\Program Files\AdoptOpenJDK\jdk-11.0.10.9-hotspot\bin\java.exe
# VM options: <none>
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: de.codecentric.fpl.list.Construct.appendAtEnd
# Parameters: (size = 10000)

# Run progress: 2,35% complete, ETA 23:09:00
# Fork: 1 of 5
# Warmup Iteration   1: 553,411 us/op
# Warmup Iteration   2: 541,977 us/op
# Warmup Iteration   3: 542,216 us/op
# Warmup Iteration   4: 542,433 us/op
# Warmup Iteration   5: 542,714 us/op
Iteration   1: 540,814 us/op
Iteration   2: 545,036 us/op
Iteration   3: 543,668 us/op
Iteration   4: 544,388 us/op
Iteration   5: 544,477 us/op

# Run progress: 2,47% complete, ETA 23:07:19
# Fork: 2 of 5
# Warmup Iteration   1: 554,115 us/op
# Warmup Iteration   2: 543,383 us/op
# Warmup Iteration   3: 542,919 us/op
# Warmup Iteration   4: 542,130 us/op
# Warmup Iteration   5: 542,126 us/op
Iteration   1: 543,002 us/op
Iteration   2: 549,586 us/op
Iteration   3: 548,662 us/op
Iteration   4: 549,529 us/op
Iteration   5: 548,070 us/op

# Run progress: 2,59% complete, ETA 23:05:39
# Fork: 3 of 5
# Warmup Iteration   1: 553,069 us/op
# Warmup Iteration   2: 542,572 us/op
# Warmup Iteration   3: 542,077 us/op
# Warmup Iteration   4: 541,487 us/op
# Warmup Iteration   5: 541,455 us/op
Iteration   1: 542,153 us/op
Iteration   2: 544,067 us/op
Iteration   3: 544,486 us/op
Iteration   4: 543,315 us/op
Iteration   5: 544,204 us/op

# Run progress: 2,71% complete, ETA 23:03:58
# Fork: 4 of 5
# Warmup Iteration   1: 554,424 us/op
# Warmup Iteration   2: 543,757 us/op
# Warmup Iteration   3: 543,391 us/op
# Warmup Iteration   4: 542,211 us/op
# Warmup Iteration   5: 543,749 us/op
Iteration   1: 542,301 us/op
Iteration   2: 545,055 us/op
Iteration   3: 545,181 us/op
Iteration   4: 545,037 us/op
Iteration   5: 545,693 us/op

# Run progress: 2,82% complete, ETA 23:02:18
# Fork: 5 of 5
# Warmup Iteration   1: 558,215 us/op
# Warmup Iteration   2: 547,383 us/op
# Warmup Iteration   3: 548,307 us/op
# Warmup Iteration   4: 550,051 us/op
# Warmup Iteration   5: 542,435 us/op
Iteration   1: 542,860 us/op
Iteration   2: 549,981 us/op
Iteration   3: 549,456 us/op
Iteration   4: 548,873 us/op
Iteration   5: 548,760 us/op


Result "de.codecentric.fpl.list.Construct.appendAtEnd":
  545,546 ±(99.9%) 2,050 us/op [Average]
  (min, avg, max) = (540,814, 545,546, 549,981), stdev = 2,737
  CI (99.9%): [543,496, 547,596] (assumes normal distribution)


# JMH version: 1.32
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9
# VM invoker: C:\Program Files\AdoptOpenJDK\jdk-11.0.10.9-hotspot\bin\java.exe
# VM options: <none>
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: de.codecentric.fpl.list.Construct.appendAtStart
# Parameters: (size = 1)

# Run progress: 2,94% complete, ETA 23:00:37
# Fork: 1 of 5
# Warmup Iteration   1: 0,016 us/op
# Warmup Iteration   2: 0,015 us/op
# Warmup Iteration   3: 0,014 us/op
# Warmup Iteration   4: 0,014 us/op
# Warmup Iteration   5: 0,014 us/op
Iteration   1: 0,014 us/op
Iteration   2: 0,014 us/op
Iteration   3: 0,014 us/op
Iteration   4: 0,014 us/op
Iteration   5: 0,014 us/op

# Run progress: 3,06% complete, ETA 22:58:58
# Fork: 2 of 5
# Warmup Iteration   1: 0,016 us/op
# Warmup Iteration   2: 0,015 us/op
# Warmup Iteration   3: 0,014 us/op
# Warmup Iteration   4: 0,014 us/op
# Warmup Iteration   5: 0,014 us/op
Iteration   1: 0,014 us/op
Iteration   2: 0,014 us/op
Iteration   3: 0,014 us/op
Iteration   4: 0,014 us/op
Iteration   5: 0,014 us/op

# Run progress: 3,18% complete, ETA 22:57:17
# Fork: 3 of 5
# Warmup Iteration   1: 0,016 us/op
# Warmup Iteration   2: 0,015 us/op
# Warmup Iteration   3: 0,014 us/op
# Warmup Iteration   4: 0,014 us/op
# Warmup Iteration   5: 0,014 us/op
Iteration   1: 0,014 us/op
Iteration   2: 0,014 us/op
Iteration   3: 0,014 us/op
Iteration   4: 0,014 us/op
Iteration   5: 0,014 us/op

# Run progress: 3,29% complete, ETA 22:55:37
# Fork: 4 of 5
# Warmup Iteration   1: 0,016 us/op
# Warmup Iteration   2: 0,015 us/op
# Warmup Iteration   3: 0,014 us/op
# Warmup Iteration   4: 0,014 us/op
# Warmup Iteration   5: 0,014 us/op
Iteration   1: 0,014 us/op
Iteration   2: 0,014 us/op
Iteration   3: 0,014 us/op
Iteration   4: 0,014 us/op
Iteration   5: 0,014 us/op

# Run progress: 3,41% complete, ETA 22:53:57
# Fork: 5 of 5
# Warmup Iteration   1: 0,016 us/op
# Warmup Iteration   2: 0,015 us/op
# Warmup Iteration   3: 0,014 us/op
# Warmup Iteration   4: 0,014 us/op
# Warmup Iteration   5: 0,014 us/op
Iteration   1: 0,014 us/op
Iteration   2: 0,014 us/op
Iteration   3: 0,014 us/op
Iteration   4: 0,014 us/op
Iteration   5: 0,014 us/op


Result "de.codecentric.fpl.list.Construct.appendAtStart":
  0,014 ±(99.9%) 0,001 us/op [Average]
  (min, avg, max) = (0,014, 0,014, 0,014), stdev = 0,001
  CI (99.9%): [0,014, 0,014] (assumes normal distribution)


# JMH version: 1.32
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9
# VM invoker: C:\Program Files\AdoptOpenJDK\jdk-11.0.10.9-hotspot\bin\java.exe
# VM options: <none>
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: de.codecentric.fpl.list.Construct.appendAtStart
# Parameters: (size = 10)

# Run progress: 3,53% complete, ETA 22:52:17
# Fork: 1 of 5
# Warmup Iteration   1: 0,341 us/op
# Warmup Iteration   2: 0,336 us/op
# Warmup Iteration   3: 0,334 us/op
# Warmup Iteration   4: 0,333 us/op
# Warmup Iteration   5: 0,335 us/op
Iteration   1: 0,333 us/op
Iteration   2: 0,333 us/op
Iteration   3: 0,334 us/op
Iteration   4: 0,333 us/op
Iteration   5: 0,333 us/op

# Run progress: 3,65% complete, ETA 22:50:36
# Fork: 2 of 5
# Warmup Iteration   1: 0,342 us/op
# Warmup Iteration   2: 0,336 us/op
# Warmup Iteration   3: 0,332 us/op
# Warmup Iteration   4: 0,333 us/op
# Warmup Iteration   5: 0,332 us/op
Iteration   1: 0,333 us/op
Iteration   2: 0,333 us/op
Iteration   3: 0,333 us/op
Iteration   4: 0,333 us/op
Iteration   5: 0,333 us/op

# Run progress: 3,76% complete, ETA 22:48:55
# Fork: 3 of 5
# Warmup Iteration   1: 0,342 us/op
# Warmup Iteration   2: 0,336 us/op
# Warmup Iteration   3: 0,333 us/op
# Warmup Iteration   4: 0,333 us/op
# Warmup Iteration   5: 0,333 us/op
Iteration   1: 0,333 us/op
Iteration   2: 0,332 us/op
Iteration   3: 0,333 us/op
Iteration   4: 0,332 us/op
Iteration   5: 0,333 us/op

# Run progress: 3,88% complete, ETA 22:47:15
# Fork: 4 of 5
# Warmup Iteration   1: 0,341 us/op
# Warmup Iteration   2: 0,337 us/op
# Warmup Iteration   3: 0,333 us/op
# Warmup Iteration   4: 0,333 us/op
# Warmup Iteration   5: 0,333 us/op
Iteration   1: 0,333 us/op
Iteration   2: 0,333 us/op
Iteration   3: 0,333 us/op
Iteration   4: 0,333 us/op
Iteration   5: 0,333 us/op

# Run progress: 4,00% complete, ETA 22:45:35
# Fork: 5 of 5
# Warmup Iteration   1: 0,341 us/op
# Warmup Iteration   2: 0,335 us/op
# Warmup Iteration   3: 0,332 us/op
# Warmup Iteration   4: 0,332 us/op
# Warmup Iteration   5: 0,332 us/op
Iteration   1: 0,333 us/op
Iteration   2: 0,333 us/op
Iteration   3: 0,333 us/op
Iteration   4: 0,332 us/op
Iteration   5: 0,335 us/op


Result "de.codecentric.fpl.list.Construct.appendAtStart":
  0,333 ±(99.9%) 0,001 us/op [Average]
  (min, avg, max) = (0,332, 0,333, 0,335), stdev = 0,001
  CI (99.9%): [0,333, 0,333] (assumes normal distribution)


# JMH version: 1.32
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9
# VM invoker: C:\Program Files\AdoptOpenJDK\jdk-11.0.10.9-hotspot\bin\java.exe
# VM options: <none>
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: de.codecentric.fpl.list.Construct.appendAtStart
# Parameters: (size = 100)

# Run progress: 4,12% complete, ETA 22:43:54
# Fork: 1 of 5
# Warmup Iteration   1: 5,117 us/op
# Warmup Iteration   2: 5,040 us/op
# Warmup Iteration   3: 5,035 us/op
# Warmup Iteration   4: 5,025 us/op
# Warmup Iteration   5: 5,022 us/op
Iteration   1: 5,026 us/op
Iteration   2: 5,026 us/op
Iteration   3: 5,029 us/op
Iteration   4: 5,028 us/op
Iteration   5: 5,037 us/op

# Run progress: 4,24% complete, ETA 22:42:14
# Fork: 2 of 5
# Warmup Iteration   1: 5,111 us/op
# Warmup Iteration   2: 5,058 us/op
# Warmup Iteration   3: 5,032 us/op
# Warmup Iteration   4: 5,021 us/op
# Warmup Iteration   5: 5,041 us/op
Iteration   1: 5,033 us/op
Iteration   2: 5,034 us/op
Iteration   3: 5,034 us/op
Iteration   4: 5,037 us/op
Iteration   5: 5,031 us/op

# Run progress: 4,35% complete, ETA 22:40:33
# Fork: 3 of 5
# Warmup Iteration   1: 5,113 us/op
# Warmup Iteration   2: 5,042 us/op
# Warmup Iteration   3: 5,038 us/op
# Warmup Iteration   4: 5,031 us/op
# Warmup Iteration   5: 5,034 us/op
Iteration   1: 5,029 us/op
Iteration   2: 5,033 us/op
Iteration   3: 5,032 us/op
Iteration   4: 5,024 us/op
Iteration   5: 5,032 us/op

# Run progress: 4,47% complete, ETA 22:38:52
# Fork: 4 of 5
# Warmup Iteration   1: 5,115 us/op
# Warmup Iteration   2: 5,041 us/op
# Warmup Iteration   3: 5,032 us/op
# Warmup Iteration   4: 5,030 us/op
# Warmup Iteration   5: 5,027 us/op
Iteration   1: 5,028 us/op
Iteration   2: 5,032 us/op
Iteration   3: 5,024 us/op
Iteration   4: 5,030 us/op
Iteration   5: 5,036 us/op

# Run progress: 4,59% complete, ETA 22:37:11
# Fork: 5 of 5
# Warmup Iteration   1: 5,116 us/op
# Warmup Iteration   2: 5,037 us/op
# Warmup Iteration   3: 5,022 us/op
# Warmup Iteration   4: 5,024 us/op
# Warmup Iteration   5: 5,013 us/op
Iteration   1: 5,024 us/op
Iteration   2: 5,026 us/op
Iteration   3: 5,026 us/op
Iteration   4: 5,016 us/op
Iteration   5: 5,023 us/op


Result "de.codecentric.fpl.list.Construct.appendAtStart":
  5,029 ±(99.9%) 0,004 us/op [Average]
  (min, avg, max) = (5,016, 5,029, 5,037), stdev = 0,005
  CI (99.9%): [5,025, 5,033] (assumes normal distribution)


# JMH version: 1.32
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9
# VM invoker: C:\Program Files\AdoptOpenJDK\jdk-11.0.10.9-hotspot\bin\java.exe
# VM options: <none>
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: de.codecentric.fpl.list.Construct.appendAtStart
# Parameters: (size = 1000)

# Run progress: 4,71% complete, ETA 22:35:31
# Fork: 1 of 5
# Warmup Iteration   1: 55,265 us/op
# Warmup Iteration   2: 54,157 us/op
# Warmup Iteration   3: 54,941 us/op
# Warmup Iteration   4: 54,923 us/op
# Warmup Iteration   5: 54,849 us/op
Iteration   1: 54,832 us/op
Iteration   2: 54,962 us/op
Iteration   3: 54,945 us/op
Iteration   4: 54,964 us/op
Iteration   5: 54,988 us/op

# Run progress: 4,82% complete, ETA 22:33:50
# Fork: 2 of 5
# Warmup Iteration   1: 54,754 us/op
# Warmup Iteration   2: 53,963 us/op
# Warmup Iteration   3: 53,860 us/op
# Warmup Iteration   4: 53,921 us/op
# Warmup Iteration   5: 53,959 us/op
Iteration   1: 53,921 us/op
Iteration   2: 53,954 us/op
Iteration   3: 53,917 us/op
Iteration   4: 53,922 us/op
Iteration   5: 53,966 us/op

# Run progress: 4,94% complete, ETA 22:32:10
# Fork: 3 of 5
# Warmup Iteration   1: 54,653 us/op
# Warmup Iteration   2: 54,088 us/op
# Warmup Iteration   3: 53,934 us/op
# Warmup Iteration   4: 53,896 us/op
# Warmup Iteration   5: 53,991 us/op
Iteration   1: 53,941 us/op
Iteration   2: 53,939 us/op
Iteration   3: 54,040 us/op
Iteration   4: 53,937 us/op
Iteration   5: 53,918 us/op

# Run progress: 5,06% complete, ETA 22:30:29
# Fork: 4 of 5
# Warmup Iteration   1: 54,655 us/op
# Warmup Iteration   2: 53,986 us/op
# Warmup Iteration   3: 54,012 us/op
# Warmup Iteration   4: 53,916 us/op
# Warmup Iteration   5: 53,887 us/op
Iteration   1: 53,839 us/op
Iteration   2: 53,944 us/op
Iteration   3: 53,989 us/op
Iteration   4: 53,953 us/op
Iteration   5: 53,942 us/op

# Run progress: 5,18% complete, ETA 22:28:48
# Fork: 5 of 5
# Warmup Iteration   1: 54,831 us/op
# Warmup Iteration   2: 54,596 us/op
# Warmup Iteration   3: 53,992 us/op
# Warmup Iteration   4: 53,916 us/op
# Warmup Iteration   5: 53,981 us/op
Iteration   1: 54,086 us/op
Iteration   2: 53,935 us/op
Iteration   3: 53,902 us/op
Iteration   4: 54,002 us/op
Iteration   5: 54,013 us/op


Result "de.codecentric.fpl.list.Construct.appendAtStart":
  54,150 ±(99.9%) 0,304 us/op [Average]
  (min, avg, max) = (53,839, 54,150, 54,988), stdev = 0,406
  CI (99.9%): [53,846, 54,454] (assumes normal distribution)


# JMH version: 1.32
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9
# VM invoker: C:\Program Files\AdoptOpenJDK\jdk-11.0.10.9-hotspot\bin\java.exe
